epoch,accuracy,loss,val_accuracy,val_loss
0,0.6227511763572693,1.016916036605835,0.6455331444740295,0.9368191957473755
1,0.7879878282546997,0.5988510847091675,0.7118155360221863,0.7854763865470886
2,0.847771942615509,0.41897064447402954,0.7118155360221863,0.753384530544281
3,0.8801549673080444,0.3371177017688751,0.7002881765365601,0.8134852051734924
4,0.9061721563339233,0.27237099409103394,0.6858789920806885,0.8678422570228577
5,0.9266537427902222,0.2290840595960617,0.6858789920806885,0.9000763297080994
6,0.9418765306472778,0.18753138184547424,0.6772334575653076,0.9984241724014282
7,0.9540547728538513,0.1567523330450058,0.6887608170509338,1.0297744274139404
8,0.9612510204315186,0.13696599006652832,0.6714697480201721,1.1320041418075562
9,0.9637420177459717,0.11954008042812347,0.6887608170509338,1.1685433387756348
10,0.9662330746650696,0.11679252237081528,0.6772334575653076,1.2013113498687744
11,0.9695543646812439,0.10073346644639969,0.680115282535553,1.2795640230178833
12,0.9703847169876099,0.09666281938552856,0.6772334575653076,1.2646037340164185
13,0.972875714302063,0.08976766467094421,0.6743515729904175,1.3377364873886108
14,0.9731525182723999,0.08620071411132812,0.6657060384750366,1.369134545326233
15,0.973429262638092,0.08172660320997238,0.6685879230499268,1.4036309719085693
16,0.973706066608429,0.07801122218370438,0.6599423885345459,1.4387025833129883
17,0.9761970639228821,0.07672704756259918,0.6714697480201721,1.421020269393921
18,0.9745364189147949,0.06551855057477951,0.680115282535553,1.4985111951828003
19,0.9753667116165161,0.06732970476150513,0.6570605039596558,1.5420668125152588
20,0.9781345129013062,0.0653972178697586,0.6945244669914246,1.517755389213562
21,0.977027416229248,0.06494218856096268,0.6628242135047913,1.6424397230148315
22,0.9778577089309692,0.06278322637081146,0.6858789920806885,1.5799287557601929
23,0.9781345129013062,0.061669930815696716,0.6685879230499268,1.5702221393585205
24,0.9784113168716431,0.06160729005932808,0.6887608170509338,1.5913832187652588
